Empresa,Ano,Modelo,Carro/SUV,Titulo,UsadoOuNovo,Transmissao,Motor,TipoDirecao,TipoCombustivel,ConsumoCombustivel,Quilometros,EsquemaCores,CilindrosMotor,TipoCarroceria,Portas,Bancos,Preco
69,2007.0,401,153,799,2,2,37,4,8,11.6,6148,729,4,0,4,3,17990.0
19,2020.0,567,468,6293,2,1,15,2,7,5.3,6155,136,3,6,5,5,27800.0
46,2022.0,13,226,7485,2,1,25,2,8,5.2,1269,289,4,3,5,5,29990.0
69,2007.0,231,226,790,2,1,28,2,8,7.7,6861,498,4,3,5,5,10990.0
36,2016.0,387,468,3990,2,1,68,0,7,10.4,8669,649,6,6,4,5,34800.0
29,2020.0,700,468,6356,2,1,30,2,8,7.9,8532,205,4,6,4,5,28984.0
69,2020.0,199,474,6635,2,1,35,2,8,8.3,11952,516,4,7,4,5,32990.0
28,2018.0,215,474,5129,2,1,25,2,8,5.8,13552,516,4,7,4,5,19999.0
69,2018.0,150,468,5542,2,1,22,1,7,5.6,719,430,4,6,4,5,29990.0
37,2012.0,659,468,2054,2,1,32,1,1,7.4,3899,516,4,6,4,7,16990.0
27,2013.0,241,226,2398,2,1,28,2,8,7.4,507,596,4,3,5,5,10800.0
33,2018.0,492,468,5194,2,1,40,2,1,8.1,11744,729,4,6,4,7,39880.0
37,2015.0,212,474,3481,2,1,28,2,8,7.1,1637,498,4,7,4,5,14995.0
41,2014.0,418,474,2996,2,1,67,4,7,9.7,3449,516,6,7,4,5,27990.0
46,2018.0,13,226,5301,2,1,25,2,8,4.9,9887,663,4,3,5,5,22990.0
69,2009.0,231,226,1216,2,1,28,2,8,7.7,1037,498,4,3,5,5,14995.0
69,2016.0,442,468,4265,2,1,67,1,8,10.6,13953,314,6,6,4,7,39280.0
70,2007.0,385,226,821,2,1,30,2,7,8.1,3714,558,4,3,3,5,10990.0
27,2015.0,225,474,3374,2,1,99,4,7,11.8,13689,669,8,7,4,5,47990.0
51,2016.0,732,468,4185,2,1,35,2,8,7.9,8622,430,4,6,4,5,23950.0
29,2020.0,408,226,6334,2,1,30,2,8,7.4,10004,596,4,3,4,5,26990.0
27,2014.0,241,226,2871,2,1,28,2,8,7.4,6097,498,4,3,5,5,7990.0
49,2016.0,229,185,4137,2,2,0,3,0,7.663150894460331,12245,109,0,3,0,0,28999.0
69,2013.0,199,474,2668,2,1,35,2,8,7.8,13094,314,4,7,4,5,17900.0
69,2013.0,231,226,2669,2,1,28,2,8,6.6,3148,440,4,3,5,5,16990.0
29,2019.0,408,226,5789,2,1,30,2,8,7.4,9108,596,4,3,4,5,26990.0
46,2016.0,142,569,4070,2,1,52,0,1,9.2,766,596,5,8,4,5,34913.0
69,2013.0,231,226,2669,2,1,28,2,8,6.6,682,649,4,3,5,5,19990.0
37,2020.0,670,474,6408,2,1,65,4,8,10.2,5180,393,6,7,4,5,55888.0
69,2015.0,583,468,3745,2,1,35,1,8,8.5,3430,498,4,6,4,5,24950.0
28,2012.0,430,226,1998,2,1,23,2,8,6.6,797,272,4,3,5,5,12800.0
4,2017.0,60,226,4361,2,1,30,4,7,5.8,12325,311,4,3,5,5,41280.0
70,2008.0,385,226,1036,2,2,30,2,7,8.1,3461,498,4,3,5,5,13990.0
65,2018.0,548,468,5521,2,1,35,1,8,7.3,11239,289,4,6,4,5,33898.0
19,2011.0,686,468,1607,2,1,59,4,1,8.2,6294,498,6,6,4,5,8913.0
37,2013.0,588,226,2468,2,1,24,2,8,6.3,13046,498,4,3,5,5,14888.0
27,2013.0,225,474,2395,2,1,68,4,8,9.5,6566,136,6,7,4,5,15995.0
69,1999.0,459,569,98,2,2,72,0,1,0.0,8821,468,6,8,2,3,48999.0
69,2013.0,404,569,2685,2,2,40,4,1,8.1,8186,729,4,8,4,5,12990.0
69,2017.0,231,226,4868,2,1,28,2,8,6.1,2092,440,4,3,5,5,23990.0
28,2016.0,216,474,3930,2,1,25,2,8,6.0,8288,516,4,7,4,5,24888.0
3,2013.0,100,226,2283,2,1,28,2,7,6.7,3050,246,4,3,5,5,13999.0
29,2018.0,408,226,5149,2,1,26,2,8,7.1,12630,109,4,3,4,5,27950.0
46,2012.0,13,226,2070,2,1,25,2,8,6.8,12803,498,4,3,5,5,13990.0
70,2013.0,687,468,2737,2,1,30,1,7,8.8,1808,314,4,6,4,5,19999.0
58,2017.0,690,153,4803,2,2,26,2,1,6.2,4326,596,4,0,4,3,22950.0
53,2013.0,16,226,2621,2,2,26,2,7,5.9,12223,314,4,3,3,5,14990.0
40,2020.0,616,468,6424,2,1,30,1,7,8.1,7096,48,4,6,4,5,69800.0
28,2017.0,398,468,4480,2,1,28,2,8,6.6,145,48,4,6,4,5,20995.0
50,2014.0,698,569,3080,2,2,35,0,1,8.1,6130,596,4,8,4,5,14413.0
51,2015.0,566,474,3629,2,1,28,2,8,6.7,13227,596,4,7,4,5,14776.0
46,2018.0,78,474,5317,2,1,35,2,8,7.0,6710,136,4,7,4,5,29990.0
3,2007.0,102,474,647,2,1,30,2,7,8.3,4125,516,4,7,4,5,7950.0
28,2005.0,113,474,404,2,1,34,2,8,9.3,4059,256,4,7,4,5,7949.0
3,2016.0,639,468,3815,2,1,62,1,1,6.8,3314,289,6,6,5,5,29999.0
69,2007.0,231,474,790,2,1,28,2,8,7.4,6553,545,4,7,4,5,8880.0
27,2011.0,225,586,1633,2,1,68,4,8,9.8,4788,498,6,9,4,5,12990.0
48,2005.0,172,360,431,2,1,0,3,8,7.663150894460331,4668,48,0,2,0,0,9999.0
51,2015.0,732,468,3644,2,1,26,2,1,5.3,1717,440,4,6,4,5,19888.0
46,2005.0,78,474,422,2,1,33,2,7,8.9,6790,256,4,7,4,5,5950.0
3,2021.0,571,468,6749,2,1,24,2,7,7.2,13879,158,4,6,4,5,51990.0
41,2004.0,416,474,319,2,1,62,4,8,10.5,1679,48,6,7,4,5,16000.0
50,2020.0,698,569,6528,2,1,34,4,1,8.3,8988,729,4,8,2,2,33990.0
29,2012.0,408,226,2009,2,1,28,2,8,6.9,482,498,4,3,5,5,16990.0
69,2018.0,442,468,5576,2,1,67,2,8,9.1,1922,596,6,6,4,7,36888.0
65,2011.0,548,468,1804,2,1,68,1,7,10.3,13256,61,6,6,4,5,16999.0
35,2014.0,748,474,2944,2,1,32,4,1,5.2,8580,289,4,7,4,5,29800.0
51,2015.0,732,468,3643,2,1,35,2,8,7.9,13540,596,4,6,4,7,22990.0
19,2013.0,605,569,2353,2,2,52,0,1,9.4,4038,596,5,8,4,5,23913.0
28,2004.0,113,474,309,2,1,34,2,7,9.4,5667,516,4,7,4,5,8990.0
19,2017.0,605,569,4413,2,2,52,0,1,8.3,637,0,5,8,2,2,29999.0
70,2015.0,562,226,3774,2,1,22,2,7,4.8,8635,729,4,3,5,5,16420.0
46,2015.0,13,226,3520,2,1,25,2,8,4.9,433,468,4,3,5,5,16990.0
51,2002.0,566,474,199,2,1,28,2,8,8.0,4177,158,4,7,4,5,7880.0
29,2015.0,718,226,3439,2,1,26,2,8,6.4,2511,649,4,3,3,4,21995.0
69,2006.0,231,226,616,2,1,28,2,8,7.4,6584,516,4,3,5,5,5999.0
48,2013.0,135,59,2522,2,1,0,4,8,7.663150894460331,9065,596,0,3,0,0,18990.0
3,2014.0,571,468,2761,2,1,30,1,1,5.9,11772,669,4,6,4,5,27995.0
27,2010.0,241,474,1351,2,1,30,2,1,6.9,520,527,4,7,4,5,8995.0
29,2012.0,408,226,2015,2,1,30,2,8,7.6,5718,430,4,3,5,5,7995.0
